s1 - NLM,s2 - GLM,s3 - BM3D,s4 - Median,p1 - NLM,p2 - GLM,p3 - BM3D,p4 - Median
"0,673184446","0,718832255","0,590133666159795","0,862327851","24,1595346","25,79886373","22,6445278976662","30,8250834"
"0,726258218","0,765298694","0,694427044061358","0,665443273","23,32944615","24,70119781","22,7385544295876","23,15765458"
"0,644987968","0,680749899","0,643052458956702","0,762613754","23,30466777","24,62935255","22,5501864187064","28,82292839"
"0,654430244","0,695520482","0,624809131746124","0,748458341","22,93280517","24,22222708","22,0362319872482","26,95319173"
"0,641462067","0,677698484","0,625021029608823","0,741496401","23,39658478","24,68398688","22,4548625188356","28,71018729"
"0,660659381","0,698397043","0,652548119032191","0,81048018","23,34703569","24,67233797","22,8334361788387","30,21683644"
"0,699768038","0,725455313","0,641496655888001","0,711258688","22,70149649","23,54641068","21,5988448806231","25,09901044"
"0,738158988","0,752971189","0,731514682248396","0,569287088","21,90202705","22,56692277","21,9506565497025","18,37102298"
"0,644122557","0,68088028","0,674563659621547","0,780880002","22,11684204","23,45958989","21,542317790187","28,58359843"
"0,722822777","0,755418664","0,674010720109046","0,748102537","23,34486489","24,33059557","22,4446856836432","25,00479838"
"0,669737599","0,711734844","0,628072666759221","0,889555229","23,05554741","24,50499715","22,0777689332411","29,42293413"
"0,734502326","0,750325206","0,730890323101625","0,615998233","21,48596626","22,28021199","21,366026470056","18,06805626"
"0,669877137","0,697326922","0,669079460169118","0,747249404","22,29082646","23,26085813","21,8995048776438","26,27741815"
"0,695304761","0,73385492","0,663472639805422","0,808503936","23,29161556","24,58042964","22,4045409071506","27,26775178"
"0,778973114","0,783046557","0,759222664527166","0,406270944","22,55844277","22,89705392","22,4991347897819","19,83587223"
"0,720518084","0,736045398","0,701187516650944","0,552528378","22,84713372","23,49657942","22,2230076609839","22,33875714"
"0,719947805","0,724813249","0,606290045787993","0,398678424","22,03606016","22,49735567","21,9021235419255","21,45998532"
"0,743798601","0,756782971","0,763339373450911","0,650166869","21,7429579","22,39174985","21,4113729467787","21,64416959"
"0,742288727","0,751277498","0,715060452911576","0,437401236","21,76347372","22,25346481","20,6888773174759","19,08276578"
"0,690636553","0,715670414","0,707803864334836","0,754119409","22,0002151","22,87068627","21,9286186399289","25,4039074"
"0,693044088","0,710179716","0,675287453895125","0,587202751","22,6472001","23,31013768","22,3772329653737","24,33131406"
"0,651151269","0,687286527","0,622668961571817","0,704163036","23,57669946","24,81173534","22,6801121387851","26,91623615"
"0,676108728","0,707451534","0,595846202293474","0,636230487","23,94460549","24,9494522","22,8200920824179","23,16540725"
"0,637533975","0,692011347","0,56990776670829","0,8851134","23,79788365","25,58383573","22,1816944157645","32,56293085"
"0,648713999","0,69169859","0,587404317925016","0,778930572","23,82624061","25,25890667","22,4100887610879","29,05259737"
"0,639413087","0,690292546","0,542834667563852","0,837281616","24,18140294","25,91214044","22,2683969843838","31,46700458"
"0,612384971","0,651754692","0,593121635178475","0,812155015","23,621301","25,02226585","22,4657999947301","30,54052446"
"0,651164599","0,696792301","0,593616608213006","0,87646238","23,34519182","24,91542963","22,1439021510145","31,27369366"
"0,638794357","0,680253961","0,590605408690041","0,752376114","23,89978569","25,28674242","22,7375788558458","28,65980471"
"0,720860877","0,728678156","0,666892420732445","0,504228215","21,83173371","22,33516621","22,1468125830232","22,69922657"
"0,655141025","0,678637203","0,662742043159637","0,628490379","22,41513833","23,37502102","22,0135647767347","25,18703547"
"0,765403831","0,765991458","0,669270151859213","0,420396457","21,99007339","22,31680941","21,7293061080325","19,04363149"
"0,712836775","0,726013863","0,665617685417426","0,671309676","22,18832718","22,90797833","19,8293426927731","24,4196409"
"0,649952687","0,67893574","0,653863389643229","0,68656989","22,92527017","23,97626186","22,416410332663","26,12095492"
"0,694065367","0,715698566","0,710733860524095","0,699583254","22,313972","23,17020323","22,37037952679","25,86130516"
"0,683745603","0,719877639","0,630724524512437","0,792078375","23,96183616","25,29587868","22,9572123543587","27,97900344"
"0,700515265","0,725067585","0,725927083701395","0,631077611","21,86538314","22,68867867","22,1542256530324","23,97894465"
"0,614056758","0,640229648","0,637876333773384","0,570220298","23,09328895","24,15649755","22,6884299671948","26,48974537"
"0,661467621","0,701264226","0,613084677652247","0,767097145","23,70861299","25,0731394","22,6508248514555","28,63481213"
"0,654983025","0,701710166","0,56887494984095","0,847839068","24,03943984","25,71749653","22,2860776603886","31,11562119"
"0,620455091","0,663562501","0,5613143958706","0,835365003","24,91190441","26,63815392","22,891678092039","32,69704422"
"0,686287084","0,720932862","0,650321794911006","0,750045071","23,7253253","24,92746852","22,6906560405554","26,70109686"
"0,677415503","0,713326752","0,624671742188773","0,77397671","23,90469674","25,15918143","22,4459843115086","24,38813081"
"0,695326352","0,731170786","0,685281895889288","0,870010729","22,83391907","24,0247215","22,196899637397","28,39223483"
"0,891194139","0,890337802","0,725922104069899","0,305367133","22,39919442","22,42550964","18,036552970957","16,81625032"
"0,673458404","0,701477737","0,667580009241484","0,786029895","22,86710273","23,91994506","22,544205193278","26,86222729"
"0,734400997","0,749477122","0,735062276491746","0,629399339","22,75115289","23,44773458","22,2481807702109","23,98374933"
"0,747127326","0,762801488","0,73816483946822","0,500733428","23,17979823","23,80278356","23,1069845869783","21,26277185"
"0,68843844","0,72907828","0,627217689928207","0,815375127","23,5357338","24,88757997","22,3538830405036","27,94364765"
"0,767227379","0,791969092","0,715208428843448","0,671619504","22,5440261","23,20123726","21,4857850680861","15,48741742"
